Played At,Day of Month,Crash Point,Game Hash,Game Secret,Secret Badge,Secret Badge Index
1/21/2018, 3:12:12 PM,21,x1.86,887093e9948422e1fc8f2751dca2f2dd6ae48524b34bee640577c37eb9e5f560,9185cc8058973fe9383405778ba1485165bd43f6bfa1911be2a2afa8d9c17815,8,60520
1/21/2018, 3:12:33 PM,21,x4.59,9185cc8058973fe9383405778ba1485165bd43f6bfa1911be2a2afa8d9c17815,1131dc803a9ef7cb34919f058d07e07b3a43fda6a95763853be84f6f045d87c5,8,60519
1/21/2018, 3:13:09 PM,21,x1.03,1131dc803a9ef7cb34919f058d07e07b3a43fda6a95763853be84f6f045d87c5,89a69bf5eed16a1e736ebffa34eed7579c3bb0815960f356917eccc978cd5a4b,8,60518
1/21/2018, 3:13:20 PM,21,x2.4,89a69bf5eed16a1e736ebffa34eed7579c3bb0815960f356917eccc978cd5a4b,577e4bed902a68afa8a010574ccdfe28b1c00d4675e898f9b5def8fc339d89dd,8,60517
1/21/2018, 3:13:46 PM,21,x1.38,577e4bed902a68afa8a010574ccdfe28b1c00d4675e898f9b5def8fc339d89dd,aa8a9f60fa726067f8d6b5e893dfed6d423a3fd2e961fb5ee3128723a5dbafe3,8,60516
1/21/2018, 3:14:02 PM,21,x1.36,aa8a9f60fa726067f8d6b5e893dfed6d423a3fd2e961fb5ee3128723a5dbafe3,548200d65fd8b890a17ca7678eef45699cd9f5f5e3260fcdf3b230f492113888,8,60515
1/21/2018, 3:14:18 PM,21,x1.09,548200d65fd8b890a17ca7678eef45699cd9f5f5e3260fcdf3b230f492113888,c8d6cca2c0918ca50aa3f4c970e56c19cbac35f4af5a085aba607f9f44c41137,8,60514
1/21/2018, 3:14:30 PM,21,x1.29,c8d6cca2c0918ca50aa3f4c970e56c19cbac35f4af5a085aba607f9f44c41137,9a78aa3ddaf8a31e0a1503aa6f77e81a7c363f1c8c3db9c5afc2ee5f6fdadee7,8,60513
1/21/2018, 3:14:45 PM,21,x23.22,9a78aa3ddaf8a31e0a1503aa6f77e81a7c363f1c8c3db9c5afc2ee5f6fdadee7,c8b09c8c5b5f9d52243b972cc226520b710cb56f0497d14b0a74c4319c9accde,8,60512
1/21/2018, 3:15:48 PM,21,x3.36,c8b09c8c5b5f9d52243b972cc226520b710cb56f0497d14b0a74c4319c9accde,087ad16fad9302ab69a5cac0fcec219005481a458d88b853a4f28ab304b59181,8,60511
1/21/2018, 3:16:19 PM,21,x1.09,087ad16fad9302ab69a5cac0fcec219005481a458d88b853a4f28ab304b59181,5a74f4e6a50686b6263810d3628724821e5697e74683367d988e1a40409c6ab1,8,60510
1/21/2018, 3:16:31 PM,21,x2.74,5a74f4e6a50686b6263810d3628724821e5697e74683367d988e1a40409c6ab1,6c87471bcca005a08b4514f67ff0a533f108cd4daf9ad9a47b6427d72497585a,8,60509
1/21/2018, 3:16:58 PM,21,x6.25,6c87471bcca005a08b4514f67ff0a533f108cd4daf9ad9a47b6427d72497585a,cdc68f17d5f8184efbe1a523c3965cd4ed8fa53c6c111142d242481e5a2b5904,8,60508
1/21/2018, 3:17:39 PM,21,x53.95,cdc68f17d5f8184efbe1a523c3965cd4ed8fa53c6c111142d242481e5a2b5904,95bc261390ac8e4486b5544f06d8012a36fe5e12f59c3aabbae4746e61af1463,8,60507
1/21/2018, 3:18:56 PM,21,x56.06,95bc261390ac8e4486b5544f06d8012a36fe5e12f59c3aabbae4746e61af1463,7dfc4e99d48388fb61fafc8f7e772c5985f321f22e28a5625bb273a338870db4,8,60506
1/21/2018, 3:20:14 PM,21,x42.94,7dfc4e99d48388fb61fafc8f7e772c5985f321f22e28a5625bb273a338870db4,a93f24bed54cbcf0b5bdf7e4bdd39f6e542a6102b774c23efe7c93d5f3eaf339,8,60505
1/21/2018, 3:21:27 PM,21,x1.06,a93f24bed54cbcf0b5bdf7e4bdd39f6e542a6102b774c23efe7c93d5f3eaf339,65c8424e07d6ac35de74c9499ef6925c49eabc180a340291b48cd0f428baba8e,8,60504
1/21/2018, 3:21:39 PM,21,x1.03,65c8424e07d6ac35de74c9499ef6925c49eabc180a340291b48cd0f428baba8e,b916ebb3832213d65b817b224a802128e85983b83c08a871d52ef3769c96a233,8,60503
1/21/2018, 3:21:51 PM,21,x1.74,b916ebb3832213d65b817b224a802128e85983b83c08a871d52ef3769c96a233,68d0320e145d0063b5b8668008e661387fb94b17c075899bb132600f9dd1fa14,8,60502
1/21/2018, 3:22:10 PM,21,x2.98,68d0320e145d0063b5b8668008e661387fb94b17c075899bb132600f9dd1fa14,9e1e685945903bb2eae2f10ffad5b206497969d1c2dd38e6d9a5f91f8c9c6146,8,60501
1/21/2018, 3:22:39 PM,21,x2.81,9e1e685945903bb2eae2f10ffad5b206497969d1c2dd38e6d9a5f91f8c9c6146,e74ce6a4399c4a1c36ebe57cbf54627edad446a448cdf662d85ceb0b27671565,8,60500
